"","SYMBOL","ENTREZID","GENENAME"
"1","COL10A1","1300","collagen type X alpha 1 chain"
"2","COL11A1","1301","collagen type XI alpha 1 chain"
"3","MMP11","4320","matrix metallopeptidase 11"
"6","GJB2","2706","gap junction protein beta 2"
"7","INHBA","3624","inhibin subunit beta A"
"8","CD300LG","146894","CD300 molecule like family member g"
"9","IGFBP6","3489","insulin like growth factor binding protein 6"
"10","PAMR1","25891","peptidase domain containing associated with muscle regeneration 1"
"11","CXCL2","2920","C-X-C motif chemokine ligand 2"
"12","FXYD1","5348","FXYD domain containing ion transport regulator 1"
